unit_id,amplitude_cutoff,firing_range,firing_rate,isi_violations_ratio,rp_contamination,rp_violations,sd_ratio,snr,silhouette,mad_ratio,quality_label
263,0.4978977679640888,0.6,0.11224495522701797,0.0,0.0,0,8.959283002177475,21.842525,0.17104349026543395,4.382424,0.0
264,0.0004335994607826449,9.0,2.3741508711654102,0.2298830528015839,0.19057092911260953,4,4.536279750637187,5.2993,0.03869059331392228,3.8018928,0.0
269,0.0030727322671274273,1.2999999999999998,0.2896017026636481,0.0,0.0,0,1.2631591221251757,7.107443,0.10583494295458162,0.8797855,1.0
270,0.0005601355214061853,1.0,0.22448991045403593,0.0,0.0,0,1.0849927564188933,2.175358,0.035594268094361614,0.9928177,0.0
277,0.0031791797545956597,0.8,0.17444129405411016,0.0,0.0,0,1.1640730915221817,5.575457,0.05200593237233958,0.9374748,0.0
280,0.005786351139522932,2.0,0.5330420601040636,0.0,0.0,0,1.0087871204285264,13.71861,0.13676704497226802,0.5711638,1.0
281,0.004901755530246932,2.2,0.4839652614983112,1.3830415033628491,1.0,2,1.9861380954674503,2.0510004,0.020507688715086174,1.3588339,0.0
283,0.00012097866700768291,7.0,1.928572412536945,0.08709469286440817,0.14051415287581637,2,5.394164234472136,5.857877,0.03704382045236484,4.4691257,0.0
284,0.0004929176914097413,1.2,0.25510217097049537,0.0,0.0,0,2.21682532357292,39.323406,0.2304235993336508,0.36024186,1.0
286,0.0010038230617169042,0.6,0.12536449544835773,0.0,0.0,0,0.9838840360536755,12.85614,0.03589030466337091,0.66096133,1.0
289,0.40540449649304705,2.4,0.5670556829001298,0.5037118663855865,1.0,1,6.094785992369772,14.905445,0.15211653013135612,3.6564565,0.0
291,0.024626102521930107,0.8,0.12876585772796434,0.0,0.0,0,1.3258404054491721,2.348422,0.015411759625234923,1.0858698,0.0
292,0.0013194408063990056,1.4,0.3007776072966412,0.0,0.0,0,0.9097805022240704,5.275679,0.01282918640915464,0.80744314,1.0
296,0.00022921392560770092,2.2,0.5485911448108367,0.0,0.0,0,0.9300784875931738,4.941862,0.020252332672986057,0.8092252,1.0
297,0.09529574032787091,1.2,0.28182716031026156,0.0,0.0,0,2.787119850762727,23.570744,0.40448595125209774,0.85842913,1.0
299,0.0005605791572176755,1.0,0.22448991045403593,0.0,0.0,0,1.0380201991373201,10.2577715,0.03385678933474623,0.69105166,1.0
300,0.0028154585585552136,3.5,0.883382374903544,0.207556403330102,0.0,0,1.3750279911355292,3.9880078,0.010952244002325341,1.1813282,0.0
302,0.10753121939179479,1.4,0.3236153254597141,0.0,0.0,0,7.863697843995785,23.033941,0.36152350844648085,2.8742795,0.0
304,0.2874560185730541,0.8,0.1579203915531638,0.0,0.0,0,6.189657163079135,14.484739,0.3659701580534848,3.0305855,0.0
307,0.00036863549362214725,1.4,0.34110804575483383,0.0,0.0,0,1.238218265719166,27.333681,0.05483301900656441,0.44442973,1.0
308,0.006914632012776365,1.5,0.31195351192963433,1.6643851719218565,1.0,1,1.3911014255859564,2.3016243,0.011310161374729599,1.1487396,0.0
310,0.0768538065956649,1.4,0.3066085140616811,0.0,0.0,0,3.959065858717811,15.269314,0.31731029717634274,1.867305,0.0
315,0.0011859683574901862,2.3,0.5257534266477638,0.0,0.0,0,1.9508864332574742,1.754628,0.04807743128262214,1.2835472,0.0
316,0.1898775964812834,1.4,0.3367348656810539,0.0,0.0,0,5.952950136526722,24.443947,0.05633133663583005,1.9877657,1.0
318,0.0003289632443234666,1.7000000000000002,0.3882412087722396,0.0,0.0,0,0.9518229796718247,6.870968,0.08951318002894897,0.7598194,1.0
319,0.003872604030351881,2.8,0.6899906338630541,0.0,0.0,0,5.44993565625115,6.8875113,0.16366411774491496,4.1225076,0.0
321,0.001129745016091766,0.8,0.17930038302497675,0.0,0.0,0,0.9846038208893378,19.953537,0.20173997536464133,0.45494103,1.0
323,0.0031826921140017277,2.0,0.517007066500204,0.0,0.0,0,1.333055438990047,13.540655,0.09902676936744098,0.66989315,1.0
325,0.016810801846061978,1.0,0.23566581508702905,0.0,0.0,0,2.136706723054642,9.069175,0.07114746071553789,0.9305027,1.0
328,0.0035340335843919188,2.0,0.4820216259099646,0.6971087754454994,0.0,0,1.361155187518856,5.060107,0.046315204046369254,0.9560251,1.0
333,0.034719806319357595,1.4,0.30709442295876777,0.0,0.0,0,2.0366424449973266,17.988409,0.3428898290670445,0.9713605,0.0
